kind,model,order,rows,device,algorithm,points,max_feature_abs,mean_feature_abs,finite,max_pair_abs,mean_pair_abs,error,initial_configuration_error,library
sweep,32,1,100,cuda,quadratureshap,8,6.304193025385985e-07,3.750577864631152e-10,True,,,,,
sweep,48,1,100,cpu,treeshap,8,3.9865882431652655,0.000538033236628851,True,,,,,
sweep,48,1,100,cpu,quadratureshap,4,0.00013209490636495458,1.2673386815160423e-07,True,,,,,
sweep,48,1,100,cpu,quadratureshap,6,1.7134297323057046e-06,4.3982019374716034e-10,True,,,,,
sweep,48,1,100,cpu,quadratureshap,8,4.5885024146929965e-07,2.2395945293862972e-10,True,,,,,
sweep,48,1,100,cpu,quadratureshap,16,3.8336051888521183e-07,2.1114569515963523e-10,True,,,,,
sweep,48,1,100,cuda,treeshap,8,,,,,,Tree depth must be < 32,,
sweep,48,1,100,cuda,quadratureshap,8,7.207620236204804e-07,3.8068184301991156e-10,True,,,,,
sweep,55,1,100,cpu,treeshap,8,44.68267811849426,0.004936504537832961,True,,,,,
sweep,55,1,100,cpu,quadratureshap,4,0.00014081092959916663,1.265656521662607e-07,True,,,,,
sweep,55,1,100,cpu,quadratureshap,6,1.86404109887503e-06,4.548006994957637e-10,True,,,,,
sweep,55,1,100,cpu,quadratureshap,8,4.287963613069934e-07,2.2218615370909782e-10,True,,,,,
sweep,55,1,100,cpu,quadratureshap,16,3.782458088963381e-07,2.0941125133272144e-10,True,,,,,
sweep,55,1,100,cuda,treeshap,8,,,,,,Tree depth must be < 32,,
sweep,55,1,100,cuda,quadratureshap,8,3.8779246924747213e-07,3.7841115749609175e-10,True,,,,,
sweep,64,1,100,cpu,treeshap,8,44.68267811849426,0.004936504537832961,True,,,,,
sweep,64,1,100,cpu,quadratureshap,4,0.00014081092959916663,1.265656521662607e-07,True,,,,,
sweep,64,1,100,cpu,quadratureshap,6,1.86404109887503e-06,4.548006994957637e-10,True,,,,,
sweep,64,1,100,cpu,quadratureshap,8,4.287963613069934e-07,2.2218615370909782e-10,True,,,,,
sweep,64,1,100,cpu,quadratureshap,16,3.782458088963381e-07,2.0941125133272144e-10,True,,,,,
sweep,64,1,100,cuda,treeshap,8,,,,,,Tree depth must be < 32,,
sweep,64,1,100,cuda,quadratureshap,8,4.562192179591307e-07,3.793191823610123e-10,True,,,,,
